#Time       v(in)      i(Vin)    
 636.E-12  -1.3        0.039572  
 654.E-12  -1.3        0.039479  
 672.E-12  -1.3        0.039467  
 684.E-12  -1.3        0.039475  
 696.E-12  -1.3        0.039447  
 705.E-12  -1.3        0.039439  
 714.E-12  -1.3        0.039418  
 723.E-12  -1.3        0.03937   
 732.E-12  -1.3        0.039319  
 741.E-12  -1.3        0.039277  
 750.E-12  -1.3        0.039249  
 765.E-12  -1.3        0.039193  
 775.E-12  -1.3        0.039133  
 785.E-12  -1.3        0.039107  
 795.E-12  -1.3        0.039107  
 805.E-12  -1.3        0.039097  
 815.E-12  -1.3        0.039078  
 827.E-12  -1.3        0.039073  
 839.E-12  -1.3        0.039056  
 851.E-12  -1.3        0.039006  
 863.E-12  -1.3        0.038976  
 872.E-12  -1.3        0.038941  
 881.E-12  -1.3        0.038918  
 890.E-12  -1.3        0.03891   
 900.E-12  -1.3        0.038882  
 910.E-12  -1.3        0.038854  
 920.E-12  -1.3        0.03884   
 930.E-12  -1.3        0.038835  
 949.E-12  -1.3        0.038762  
 959.E-12  -1.3        0.038715  
 969.E-12  -1.3        0.03871   
 979.E-12  -1.3        0.038743  
 995.E-12  -1.3        0.038762  
 1.003E-9  -1.3        0.038745  
 1.016E-9  -1.3        0.038701  
 1.029E-9  -1.3        0.038664  
 1.042E-9  -1.3        0.038675  
 1.055E-9  -1.3        0.038645  
 1.063E-9  -1.3        0.038608  
 1.083E-9  -1.3        0.038546  
 1.093E-9  -1.3        0.038527  
 1.12E-9   -1.3        0.038495  
 1.141E-9  -1.3        0.038504  
 1.162E-9  -1.3        0.038512  
 1.183E-9  -1.3        0.038513  
 1.219E-9  -1.3        0.0386    
 1.238E-9  -1.3        0.038556  
 1.252E-9  -1.3        0.038515  
 1.266E-9  -1.3        0.038471  
 1.292E-9  -1.3        0.038444  
 1.308E-9  -1.3        0.038447  
 1.324E-9  -1.3        0.038367  
 1.335E-9  -1.3        0.038323  
 1.346E-9  -1.3        0.038299  
 1.357E-9  -1.3        0.038274  
